SPPARKS (08 Oct 2025)
seed 12345
app_style surface/rxn
solve_style tree

dimension 2
lattice sq/4n 1.0
region box block 0 128 0 128 -0.5 0.5
create_box box
Created box = (0 0 -0.5) to (128 128 0.5)
  1 by 1 by 1 processor grid
create_sites box
Creating sites ...
  16384 sites
  16384 sites have 4 neighbors

# surface species mapping (0 = *, 1 = A*, 2 = B*)
species A 1
species B 2

# initialize lattice
set site value 0
  16384 settings made for site
set site value 1 fraction 0.25 if site = 0
  4048 settings made for site
set site value 2 fraction 0.25 if site = 0
  3148 settings made for site

# gas concentration for k1 c_A
gas A 1.0

# surface diffusion
diffusion A 0.2
diffusion B 0.2

# A* + * -> 2A*   rate = k1 * c_A
reaction A * -> A A 1.0 gas A

# A* + B* -> 2B*  rate = k2
reaction A B -> B B 1.0

# B* + * -> 2* + B(g)  rate = k3
reaction B * -> * * 0.1

stats 0.01
run 100.0
Setting up run ...
Running with 32-bit site IDs
Memory usage per processor = 1.625 Mbytes
      Time    Naccept    Nreject    Nsweeps        CPU
   11.7103      55980          0          0      0.132
   11.7201      56012          0          0      0.133
   11.7304      56045          0          0      0.133
   11.7402      56074          0          0      0.133
   11.7501      56108          0          0      0.133
   11.7613      56145          0          0      0.133
   11.7704      56167          0          0      0.133
   11.7804      56201          0          0      0.133
   11.7902      56231          0          0      0.133
   11.8002      56262          0          0      0.133
     11.81      56296          0          0      0.133
   11.8211      56333          0          0      0.133
     11.83      56361          0          0      0.133
   11.8401      56394          0          0      0.133
     11.85      56425          0          0      0.134
   11.8602      56467          0          0      0.134
   11.8702      56492          0          0      0.134
   11.8802      56515          0          0      0.134
   11.8904      56548          0          0      0.134
   11.9005      56581          0          0      0.134
   11.9104      56599          0          0      0.134
   11.9202      56623          0          0      0.134
   11.9302      56658          0          0      0.134
   11.9408      56674          0          0      0.134
   11.9503      56703          0          0      0.134
   11.9601      56742          0          0      0.134
   11.9703      56770          0          0      0.134
   11.9801      56798          0          0      0.134
   11.9901      56831          0          0      0.134
   12.0006      56864          0          0      0.135
   12.0103      56891          0          0      0.135
     12.02      56919          0          0      0.135
   12.0303      56953          0          0      0.135
   12.0414      56979          0          0      0.135
   12.0502      57004          0          0      0.135
   12.0601      57031          0          0      0.135
   12.0706      57065          0          0      0.135
   12.0806      57092          0          0      0.135
     12.09      57122          0          0      0.135
   12.1002      57148          0          0      0.135
   12.1105      57179          0          0      0.135
   12.1201      57208          0          0      0.135
   12.1307      57239          0          0      0.135
   12.1404      57273          0          0      0.136
   12.1505      57299          0          0      0.136
   12.1602      57330          0          0      0.136
   12.1707      57354          0          0      0.136
   12.1803      57388          0          0      0.136
   12.1903      57414          0          0      0.136
   12.2001      57444          0          0      0.136
   12.2103      57472          0          0      0.136
   12.2202      57504          0          0      0.136
   12.2302      57530          0          0      0.136
   12.2401      57565          0          0      0.136
   12.2503      57588          0          0      0.136
   12.2606      57617          0          0      0.137
   12.2711      57642          0          0      0.137
   12.2801      57662          0          0      0.137
   12.2901      57688          0          0      0.137
   12.3001      57720          0          0      0.137
